Hand,Weight,Combos,Equity,EV,EQR,Bet 1 %,Bet 1 EV,Check %,Check EV
As2s,1,724,0.569841,0.690124,0.605541,0.100787,0.686995,0.899213,0.690475
Ah2h,1,723,0.589766,0.866455,0.734576,0.281712,0.864508,0.718288,0.867218
Ad2d,1,725,0.588833,0.861822,0.731805,0.282521,0.859606,0.717479,0.862694
Ac2c,1,725,0.588833,0.861822,0.731805,0.282521,0.859606,0.717479,0.862694
As3h,1,723,0.572481,0.700605,0.611902,0.009567,0.698305,0.990433,0.700628
As3d,1,724,0.57176,0.696774,0.609324,0.003876,0.693052,0.996124,0.696789
As3c,1,724,0.57176,0.696774,0.609324,0.003876,0.693052,0.996124,0.696789
Ah3s,1,722,0.572982,0.705581,0.61571,0.05713,0.700342,0.94287,0.705899
Ah3d,1,723,0.572952,0.705001,0.615235,0.002823,0.699853,0.997177,0.705015
Ah3c,1,723,0.572952,0.705001,0.615235,0.002823,0.699853,0.997177,0.705015
Ad3s,1,723,0.572339,0.702218,0.613463,0.035676,0.696369,0.964324,0.702434
Ad3h,1,723,0.573032,0.705382,0.615483,0.00531,0.70166,0.99469,0.705402
Ad3c,1,724,0.57231,0.701412,0.61279,0.003113,0.696273,0.996887,0.701428
Ac3s,1,723,0.572339,0.702218,0.613463,0.035676,0.696369,0.964324,0.702434
Ac3h,1,723,0.573032,0.705382,0.615483,0.00531,0.70166,0.99469,0.705402
Ac3d,1,724,0.57231,0.701412,0.61279,0.003113,0.696273,0.996887,0.701428
As2h,1,725,0.570487,0.694527,0.608714,0.033173,0.691416,0.966827,0.694633
As2d,1,726,0.569771,0.690007,0.605513,0.013108,0.687344,0.986893,0.690042
As2c,1,726,0.569771,0.690007,0.605513,0.013108,0.687344,0.986893,0.690042
Ah2s,1,724,0.570932,0.698419,0.611648,0.135912,0.694856,0.864088,0.698979
Ah2d,1,725,0.570956,0.698064,0.611311,0.010956,0.694119,0.989044,0.698108
Ah2c,1,725,0.570956,0.698064,0.611311,0.010956,0.694119,0.989044,0.698108
Ad2s,1,725,0.570293,0.694874,0.609225,0.118059,0.690901,0.881941,0.695405
Ad2h,1,725,0.571036,0.699131,0.612161,0.029862,0.694762,0.970138,0.699266
Ad2c,1,726,0.570319,0.694627,0.608982,0.009949,0.690556,0.990051,0.694668
Ac2s,1,725,0.570293,0.694874,0.609225,0.118059,0.690901,0.881941,0.695405
Ac2h,1,725,0.571036,0.699131,0.612161,0.029862,0.694762,0.970138,0.699266
Ac2d,1,726,0.570319,0.694627,0.608982,0.009949,0.690556,0.990051,0.694668
Ks7s,1,723,0.944477,4.10958,2.17559,0.198138,4.10534,0.801862,4.11063
Kh7h,1,724,0.946979,4.1728,2.20322,0.206409,4.16626,0.793591,4.1745
Ks6s,1,723,0.522351,0.482541,0.461893,0.018814,0.482034,0.981186,0.48255
Kh6h,1,724,0.54298,0.654049,0.602278,0.031983,0.651429,0.968017,0.654136
Kd6d,1,721,0.546098,0.671308,0.61464,0.008423,0.668742,0.991577,0.67133
Kc6c,1,721,0.546098,0.671308,0.61464,0.008423,0.668742,0.991577,0.67133
Ks5s,1,721,0.518577,0.456967,0.440597,0.068696,0.455882,0.931304,0.457047
Kh5h,1,722,0.539242,0.632209,0.586201,0.103334,0.62966,0.896666,0.632503
Kd5d,1,719,0.542347,0.652741,0.601774,0.043336,0.649265,0.956664,0.652898
Kc5c,1,719,0.542347,0.652741,0.601774,0.043336,0.649265,0.956664,0.652898
Ks4s,1,725,0.516059,0.452806,0.438715,0.029175,0.451807,0.970825,0.452836
Kh4h,1,726,0.536824,0.628335,0.585234,0.043854,0.625018,0.956146,0.628488
Kd4d,1,724,0.539215,0.643957,0.597124,0.033997,0.640347,0.966003,0.644084
Kc4c,1,724,0.539215,0.643957,0.597124,0.033997,0.640347,0.966003,0.644084
Ks3s,1,723,0.512351,0.432643,0.422214,0.050614,0.430805,0.949386,0.432741
Kh3h,1,724,0.533109,0.604666,0.567113,0.074739,0.603235,0.925261,0.604782
Kd3d,1,723,0.534793,0.613978,0.574034,0.0748,0.61159,0.9252,0.614171
Kc3c,1,723,0.534793,0.613978,0.574034,0.0748,0.61159,0.9252,0.614171
Ks8h,1,740,0.53626,0.564113,0.52597,0.006363,0.557223,0.993637,0.564157
Ks8d,1,739,0.537017,0.572747,0.533267,0.003815,0.563189,0.996185,0.572784
Ks8c,1,739,0.537017,0.572747,0.533267,0.003815,0.563189,0.996185,0.572784
Kh8s,1,741,0.535524,0.562933,0.525591,0.006088,0.554799,0.993912,0.562983
Kh8d,1,740,0.536784,0.573696,0.534383,0.004089,0.563275,0.995911,0.573739
Kh8c,1,740,0.536784,0.573696,0.534383,0.004089,0.563275,0.995911,0.573739
Kd8s,1,739,0.537045,0.571886,0.532438,0.001831,0.564325,0.998169,0.5719
Kd8h,1,739,0.537551,0.573773,0.533692,0.002777,0.566345,0.997223,0.573794
Kd8c,1,738,0.538311,0.583183,0.541679,0.002121,0.573595,0.997879,0.583203
Kc8s,1,739,0.537045,0.571886,0.532438,0.001831,0.564325,0.998169,0.5719
Kc8h,1,739,0.537551,0.573773,0.533692,0.002777,0.566345,0.997223,0.573794
Kc8d,1,738,0.538311,0.583183,0.541679,0.002121,0.573595,0.997879,0.583203
Ks7h,1,724,0.944112,4.10973,2.17651,0.181674,4.10531,0.818326,4.11072
Kh7s,1,725,0.944072,4.10906,2.17625,0.205509,4.10334,0.794491,4.11055
Kd7s,1,723,0.944787,4.11237,2.17635,0.162783,4.1047,0.837217,4.11386
Kd7h,1,723,0.945036,4.11686,2.17815,0.150988,4.10908,0.849012,4.11825
Kc7s,1,723,0.944787,4.11237,2.17635,0.162783,4.1047,0.837217,4.11386
Kc7h,1,723,0.945036,4.11686,2.17815,0.150988,4.10908,0.849012,4.11825
Ks5h,1,721,0.519132,0.461169,0.444173,0.009064,0.459117,0.990936,0.461188
Ks5d,1,720,0.519902,0.470798,0.452775,0.001633,0.465882,0.998367,0.470806
Ks5c,1,720,0.519902,0.470798,0.452775,0.001633,0.465882,0.998367,0.470806
Kh5s,1,722,0.51832,0.457411,0.441243,0.050294,0.454956,0.949706,0.457541
Kh5d,1,721,0.519643,0.471012,0.453207,0.001724,0.465199,0.998276,0.471022
Kh5c,1,721,0.519643,0.471012,0.453207,0.001724,0.465199,0.998276,0.471022
Kd5s,1,720,0.519877,0.465535,0.447735,0.032273,0.462901,0.967727,0.465623
Kd5h,1,720,0.520433,0.469372,0.450944,0.002335,0.466011,0.997665,0.46938
Kd5c,1,719,0.521206,0.479275,0.459775,0.001236,0.473443,0.998764,0.479282
Kc5s,1,720,0.519877,0.465535,0.447735,0.032273,0.462901,0.967727,0.465623
Kc5h,1,720,0.520433,0.469372,0.450944,0.002335,0.466011,0.997665,0.46938
Kc5d,1,719,0.521206,0.479275,0.459775,0.001236,0.473443,0.998764,0.479282
Ks4h,1,725,0.516568,0.456303,0.441668,0.001801,0.451936,0.998199,0.456311
Ks4d,1,725,0.516622,0.460676,0.445854,0.001785,0.455281,0.998215,0.460686
Ks4c,1,725,0.516622,0.460676,0.445854,0.001785,0.455281,0.998215,0.460686
Kh4s,1,726,0.515805,0.453171,0.439285,0.017609,0.451277,0.982391,0.453205
Kh4d,1,726,0.516367,0.460903,0.446294,0.001923,0.454747,0.998077,0.460915
Kh4c,1,726,0.516367,0.460903,0.446294,0.001923,0.454747,0.998077,0.460915
Kd4s,1,724,0.517346,0.461338,0.44587,0.017517,0.460199,0.982483,0.461359
Kd4h,1,724,0.517856,0.464445,0.448431,0.001678,0.460714,0.998322,0.464451
Kd4c,1,724,0.51791,0.468825,0.452612,0.001541,0.463678,0.998459,0.468833
Kc4s,1,724,0.517346,0.461338,0.44587,0.017517,0.460199,0.982483,0.461359
Kc4h,1,724,0.517856,0.464445,0.448431,0.001678,0.460714,0.998322,0.464451
Kc4d,1,724,0.51791,0.468825,0.452612,0.001541,0.463678,0.998459,0.468833
Ks3h,1,723,0.513014,0.434662,0.423636,0.005341,0.431967,0.994659,0.434677
Ks3d,1,724,0.512363,0.431317,0.42091,0.006165,0.428628,0.993835,0.431334
Ks3c,1,724,0.512363,0.431317,0.42091,0.006165,0.428628,0.993835,0.431334
Kh3s,1,724,0.512101,0.433328,0.423088,0.018738,0.429788,0.981262,0.433396
Kh3d,1,725,0.512114,0.431808,0.421594,0.013336,0.427872,0.986664,0.431861
Kh3c,1,725,0.512114,0.431808,0.421594,0.013336,0.427872,0.986664,0.431861
Kd3s,1,722,0.513636,0.439985,0.428304,0.039261,0.437253,0.960739,0.440096
Kd3h,1,722,0.5143,0.441955,0.429666,0.023728,0.438675,0.976272,0.442034
Kd3c,1,723,0.513647,0.4386,0.426947,0.019776,0.434806,0.980224,0.438677
Kc3s,1,722,0.513636,0.439985,0.428304,0.039261,0.437253,0.960739,0.440096
Kc3h,1,722,0.5143,0.441955,0.429666,0.023728,0.438675,0.976272,0.442034
Kc3d,1,723,0.513647,0.4386,0.426947,0.019776,0.434806,0.980224,0.438677
Ks2h,1,725,0.511213,0.433221,0.423719,0.011963,0.428644,0.988037,0.433276
Ks2d,1,726,0.510566,0.429064,0.420185,0.029572,0.425447,0.970428,0.429174
Ks2c,1,726,0.510566,0.429064,0.420185,0.029572,0.425447,0.970428,0.429174
Kh2s,1,726,0.510253,0.431657,0.422983,0.042924,0.426861,0.957076,0.431872
Kh2d,1,727,0.510319,0.429158,0.42048,0.035401,0.424826,0.964599,0.429317
Kh2c,1,727,0.510319,0.429158,0.42048,0.035401,0.424826,0.964599,0.429317
Kd2s,1,724,0.511779,0.437922,0.427842,0.058701,0.43404,0.941299,0.438164
Kd2h,1,724,0.512493,0.439923,0.429199,0.036484,0.435329,0.963516,0.440096
Kd2c,1,725,0.511843,0.435725,0.425643,0.057969,0.431604,0.942031,0.435979
Kc2s,1,724,0.511779,0.437922,0.427842,0.058701,0.43404,0.941299,0.438164
Kc2h,1,724,0.512493,0.439923,0.429199,0.036484,0.435329,0.963516,0.440096
Kc2d,1,725,0.511843,0.435725,0.425643,0.057969,0.431604,0.942031,0.435979
Qs7s,1,723,0.941603,4.03727,2.14383,0.041962,4.02985,0.958038,4.0376
Qh7h,1,724,0.944087,4.09315,2.16778,0.146197,4.08237,0.853803,4.095
Qs6s,1,723,0.454116,0.291325,0.320761,0.093782,0.2877,0.906218,0.291701
Qh6h,1,724,0.477905,0.461978,0.483337,0.002701,0.452854,0.997299,0.462003
Qd6d,1,721,0.480886,0.474998,0.493878,0.004242,0.466622,0.995758,0.475033
Qc6c,1,721,0.480886,0.474998,0.493878,0.004242,0.466622,0.995758,0.475033
Qs5s,1,720,0.450159,0.272457,0.302623,0.118746,0.269831,0.881254,0.272811
Qh5h,1,721,0.474038,0.448353,0.472908,0.002853,0.439837,0.997147,0.448377
Qd5d,1,718,0.477005,0.463322,0.485657,0.004044,0.455428,0.995956,0.463354
Qc5c,1,718,0.477005,0.463322,0.485657,0.004044,0.455428,0.995956,0.463354
Qs4s,1,725,0.448164,0.275163,0.306989,0.013748,0.26869,0.986252,0.275253
Qh4h,1,726,0.472098,0.448308,0.474805,0.000916,0.434186,0.999084,0.448321
Qd4d,1,724,0.474443,0.459926,0.484701,0.001205,0.447184,0.998795,0.459941
Qc4c,1,724,0.474443,0.459926,0.484701,0.001205,0.447184,0.998795,0.459941
Qs3s,1,723,0.444217,0.260398,0.293098,0.054475,0.25686,0.945525,0.260602
Qh3h,1,724,0.468153,0.428619,0.457777,0.001038,0.42051,0.998962,0.428628
Qd3d,1,723,0.46988,0.435052,0.46294,0.001343,0.426418,0.998657,0.435064
Qc3c,1,723,0.46988,0.435052,0.46294,0.001343,0.426418,0.998657,0.435064
QsTh,1,728,0.497601,0.548252,0.550896,0.001373,0.543645,0.998627,0.548259
QsTd,1,728,0.497642,0.547867,0.550463,0.002182,0.544286,0.997818,0.547874
QsTc,1,728,0.497642,0.547867,0.550463,0.002182,0.544286,0.997818,0.547874
QhTs,1,729,0.496898,0.550006,0.55344,0.005493,0.545679,0.994507,0.55003
QhTd,1,729,0.497538,0.548354,0.551068,0.003861,0.545167,0.996139,0.548367
QhTc,1,729,0.497538,0.548354,0.551068,0.003861,0.545167,0.996139,0.548367
QdTs,1,727,0.49825,0.556457,0.558412,0.04715,0.553156,0.95285,0.55662
QdTh,1,727,0.498851,0.555181,0.55646,0.011887,0.552899,0.988113,0.555209
QdTc,1,727,0.498892,0.555044,0.556276,0.02211,0.553412,0.97789,0.555081
QcTs,1,727,0.49825,0.556457,0.558412,0.04715,0.553156,0.95285,0.55662
QcTh,1,727,0.498851,0.555181,0.55646,0.011887,0.552899,0.988113,0.555209
QcTd,1,727,0.498892,0.555044,0.556276,0.02211,0.553412,0.97789,0.555081
Qs8h,1,740,0.472546,0.392792,0.415613,0.001572,0.374288,0.998428,0.392821
Qs8d,1,739,0.473203,0.400283,0.42295,0.00296,0.383793,0.99704,0.400332
Qs8c,1,739,0.473203,0.400283,0.42295,0.00296,0.383793,0.99704,0.400332
Qh8s,1,741,0.471881,0.39059,0.413865,0.001999,0.37614,0.998001,0.390619
Qh8d,1,740,0.473044,0.40059,0.423417,0.003326,0.386265,0.996674,0.400638
Qh8c,1,740,0.473044,0.40059,0.423417,0.003326,0.386265,0.996674,0.400638
Qd8s,1,739,0.47323,0.395885,0.41828,0.002029,0.3819,0.997971,0.395913
Qd8h,1,739,0.473738,0.398531,0.420623,0.002121,0.382657,0.997879,0.398564
Qd8c,1,738,0.474398,0.406544,0.428484,0.003906,0.392693,0.996094,0.406598
Qc8s,1,739,0.47323,0.395885,0.41828,0.002029,0.3819,0.997971,0.395913
Qc8h,1,739,0.473738,0.398531,0.420623,0.002121,0.382657,0.997879,0.398564
Qc8d,1,738,0.474398,0.406544,0.428484,0.003906,0.392693,0.996094,0.406598
Qs7h,1,724,0.941238,4.04033,2.14629,0.026963,4.03005,0.973037,4.04062
Qh7s,1,725,0.941201,4.03492,2.1435,0.043214,4.02163,0.956786,4.03552
Qd7s,1,723,0.94191,4.03702,2.143,0.143084,4.02895,0.856916,4.03837
Qd7h,1,723,0.942155,4.04465,2.14649,0.079332,4.0336,0.920668,4.0456
Qc7s,1,723,0.94191,4.03702,2.143,0.143084,4.02895,0.856916,4.03837
Qc7h,1,723,0.942155,4.04465,2.14649,0.079332,4.0336,0.920668,4.0456
Qs6h,1,724,0.454762,0.297498,0.327092,0.009857,0.289715,0.990143,0.297576
Qs6d,1,723,0.455429,0.29871,0.327944,0.013016,0.292088,0.986984,0.298798
Qs6c,1,723,0.455429,0.29871,0.327944,0.013016,0.292088,0.986984,0.298798
Qh6s,1,725,0.454015,0.292645,0.322286,0.113771,0.289794,0.886229,0.293011
Qh6d,1,724,0.455263,0.298562,0.327901,0.057176,0.293581,0.942824,0.298864
Qh6c,1,724,0.455263,0.298562,0.327901,0.057176,0.293581,0.942824,0.298864
Qd6s,1,723,0.455388,0.298402,0.327635,0.095888,0.294668,0.904112,0.298798
Qd6h,1,723,0.455972,0.30321,0.332487,0.015244,0.296475,0.984756,0.303314
Qd6c,1,722,0.456641,0.304986,0.333945,0.036301,0.299506,0.963699,0.305192
Qc6s,1,723,0.455388,0.298402,0.327635,0.095888,0.294668,0.904112,0.298798
Qc6h,1,723,0.455972,0.30321,0.332487,0.015244,0.296475,0.984756,0.303314
Qc6d,1,722,0.456641,0.304986,0.333945,0.036301,0.299506,0.963699,0.305192
Qs5h,1,721,0.450764,0.276565,0.306774,0.026215,0.272785,0.973785,0.276667
Qs5d,1,720,0.451431,0.28519,0.315873,0.009751,0.279031,0.99025,0.285251
Qs5c,1,720,0.451431,0.28519,0.315873,0.009751,0.279031,0.99025,0.285251
Qh5s,1,722,0.450064,0.27395,0.304345,0.110994,0.272112,0.889006,0.27418
Qh5d,1,721,0.451265,0.284746,0.315498,0.018692,0.280937,0.981308,0.284819
Qh5c,1,721,0.451265,0.284746,0.315498,0.018692,0.280937,0.981308,0.284819
Qd5s,1,720,0.451432,0.279373,0.309429,0.08751,0.27618,0.91249,0.279679
Qd5h,1,720,0.451968,0.282071,0.312047,0.084657,0.278513,0.915343,0.2824
Qd5c,1,719,0.452638,0.291022,0.321473,0.019593,0.285424,0.980407,0.291134
Qc5s,1,720,0.451432,0.279373,0.309429,0.08751,0.27618,0.91249,0.279679
Qc5h,1,720,0.451968,0.282071,0.312047,0.084657,0.278513,0.915343,0.2824
Qc5d,1,719,0.452638,0.291022,0.321473,0.019593,0.285424,0.980407,0.291134
Qs4h,1,725,0.448623,0.275008,0.306503,0.06302,0.269462,0.93698,0.275381
Qs4d,1,725,0.448671,0.279457,0.311428,0.060502,0.272808,0.939498,0.279885
Qs4c,1,725,0.448671,0.279457,0.311428,0.060502,0.272808,0.939498,0.279885
Qh4s,1,726,0.447996,0.275148,0.307087,0.075944,0.271111,0.924056,0.27548
Qh4d,1,726,0.448503,0.279449,0.311536,0.149081,0.274966,0.850919,0.280235
Qh4c,1,726,0.448503,0.279449,0.311536,0.149081,0.274966,0.850919,0.280235
Qd4s,1,724,0.449351,0.280827,0.312481,0.094606,0.275927,0.905394,0.281339
Qd4h,1,724,0.44981,0.281809,0.313253,0.177707,0.276829,0.822293,0.282885
Qd4c,1,724,0.449858,0.285533,0.317359,0.155276,0.280308,0.844724,0.286494
Qc4s,1,724,0.449351,0.280827,0.312481,0.094606,0.275927,0.905394,0.281339
Qc4h,1,724,0.44981,0.281809,0.313253,0.177707,0.276829,0.822293,0.282885
Qc4d,1,724,0.449858,0.285533,0.317359,0.155276,0.280308,0.844724,0.286494
Qs3h,1,723,0.44483,0.261872,0.294351,0.012161,0.260215,0.987839,0.261892
Qs3d,1,724,0.444266,0.260196,0.292838,0.002121,0.255696,0.997879,0.260206
Qs3c,1,724,0.444266,0.260196,0.292838,0.002121,0.255696,0.997879,0.260206
Qh3s,1,724,0.444055,0.261328,0.294251,0.064683,0.258917,0.935317,0.261494
Qh3d,1,725,0.444104,0.262114,0.295104,0.00267,0.257237,0.99733,0.262127
Qh3c,1,725,0.444104,0.262114,0.295104,0.00267,0.257237,0.99733,0.262127
Qd3s,1,722,0.445402,0.265084,0.297578,0.168124,0.260999,0.831876,0.26591
Qd3h,1,722,0.446016,0.267488,0.299864,0.116091,0.264747,0.883909,0.267848
Qd3c,1,723,0.445449,0.26581,0.298362,0.014939,0.260344,0.985061,0.265893
Qc3s,1,722,0.445402,0.265084,0.297578,0.168124,0.260999,0.831876,0.26591
Qc3h,1,722,0.446016,0.267488,0.299864,0.116091,0.264747,0.883909,0.267848
Qc3d,1,723,0.445449,0.26581,0.298362,0.014939,0.260344,0.985061,0.265893
Qs2h,1,725,0.443234,0.262729,0.296377,0.057557,0.259939,0.942443,0.262899
Qs2d,1,726,0.442672,0.260274,0.29398,0.013275,0.257104,0.986725,0.260316
Qs2c,1,726,0.442672,0.260274,0.29398,0.013275,0.257104,0.986725,0.260316
Qh2s,1,726,0.442412,0.262877,0.297095,0.07158,0.259417,0.92842,0.263143
Qh2d,1,727,0.442512,0.262044,0.296087,0.014542,0.257997,0.985458,0.262104
Qh2c,1,727,0.442512,0.262044,0.296087,0.014542,0.257997,0.985458,0.262104
Qd2s,1,724,0.44375,0.26639,0.300158,0.174105,0.261494,0.825895,0.267422
Qd2h,1,724,0.444414,0.268197,0.301742,0.121658,0.263556,0.878342,0.26884
Qd2c,1,725,0.44385,0.265699,0.299312,0.056062,0.26084,0.943938,0.265988
Qc2s,1,724,0.44375,0.26639,0.300158,0.174105,0.261494,0.825895,0.267422
Qc2h,1,724,0.444414,0.268197,0.301742,0.121658,0.263556,0.878342,0.26884
Qc2d,1,725,0.44385,0.265699,0.299312,0.056062,0.26084,0.943938,0.265988
Js7s,1,716,0.990713,5.26954,2.65947,0.012116,5.26554,0.987884,5.26958
Js6s,1,716,0.79392,1.92317,1.21119,0.001129,1.9125,0.998871,1.92319
Jd6d,1,715,0.804622,2.06656,1.28418,0.053132,2.0594,0.946868,2.06696
Jc6c,1,715,0.804622,2.06656,1.28418,0.053132,2.0594,0.946868,2.06696
Js5s,1,713,0.791305,1.89932,1.20012,0.000946,1.88795,0.999054,1.89933
Jd5d,1,712,0.802162,2.04751,1.27625,0.031983,2.04054,0.968017,2.04774
Jc5c,1,712,0.802162,2.04751,1.27625,0.031983,2.04054,0.968017,2.04774
Js4s,1,717,0.792223,1.9047,1.20212,0.003082,1.89809,0.996918,1.90472
Jd4d,1,717,0.802134,2.04692,1.27592,0.121767,2.04018,0.878233,2.04785
Jc4c,1,717,0.802134,2.04692,1.27592,0.121767,2.04018,0.878233,2.04785
Js3s,1,715,0.789703,1.88281,1.1921,0.103258,1.87789,0.896742,1.88337
Jd3d,1,716,0.798747,2.01952,1.26418,0.152148,2.01466,0.847852,2.02039
Jc3c,1,716,0.798747,2.01952,1.26418,0.152148,2.01466,0.847852,2.02039
Js2s,1,717,0.789885,1.88122,1.19082,0.107683,1.87844,0.892317,1.88156
Jd2d,1,718,0.798963,2.02132,1.26496,0.102937,2.01794,0.897063,2.02171
Jc2c,1,718,0.798963,2.02132,1.26496,0.102937,2.01794,0.897063,2.02171
JsTh,1,719,0.815388,2.13493,1.30915,0.107164,2.13006,0.892836,2.13551
JsTd,1,719,0.815487,2.14413,1.31464,0.080859,2.13746,0.919141,2.14472
JsTc,1,719,0.815487,2.14413,1.31464,0.080859,2.13746,0.919141,2.14472
JdTs,1,719,0.815125,2.14479,1.31562,0.076081,2.13927,0.923919,2.14524
JdTh,1,719,0.815721,2.13854,1.31083,0.062547,2.13538,0.937453,2.13875
JdTc,1,719,0.81582,2.14805,1.3165,0.03183,2.14265,0.96817,2.14823
JcTs,1,719,0.815125,2.14479,1.31562,0.076081,2.13927,0.923919,2.14524
JcTh,1,719,0.815721,2.13854,1.31083,0.062547,2.13538,0.937453,2.13875
JcTd,1,719,0.81582,2.14805,1.3165,0.03183,2.14265,0.96817,2.14823
Js9h,1,720,0.812594,2.09517,1.28919,0.052735,2.0926,0.947265,2.09532
Js9d,1,720,0.812713,2.10319,1.29393,0.011078,2.09998,0.988922,2.10322
Js9c,1,720,0.812713,2.10319,1.29393,0.011078,2.09998,0.988922,2.10322
Jd9s,1,720,0.812305,2.10122,1.29337,0.009003,2.09506,0.990997,2.10128
Jd9h,1,720,0.812898,2.09825,1.2906,0.037049,2.09687,0.962951,2.0983
Jd9c,1,720,0.813017,2.10631,1.29536,0.01207,2.10426,0.98793,2.10633
Jc9s,1,720,0.812305,2.10122,1.29337,0.009003,2.09506,0.990997,2.10128
Jc9h,1,720,0.812898,2.09825,1.2906,0.037049,2.09687,0.962951,2.0983
Jc9d,1,720,0.813017,2.10631,1.29536,0.01207,2.10426,0.98793,2.10633
Js8h,1,732,0.809141,2.05585,1.27039,0.067155,2.05098,0.932845,2.0562
Js8d,1,731,0.810216,2.06925,1.27697,0.074907,2.06429,0.925093,2.06965
Js8c,1,731,0.810216,2.06925,1.27697,0.074907,2.06429,0.925093,2.06965
Jd8s,1,732,0.808958,2.05822,1.27215,0.036408,2.05429,0.963592,2.05837
